source_id,target_id,source,target,weight
26,34,annotated graph,vertex set,0.6850969791412354
26,118,annotated graph,edge-based features,0.7473279237747192
26,121,annotated graph,graph-based features,0.7588372230529785
26,140,annotated graph,graph feature representation,0.7668122053146362
26,141,annotated graph,graph feature embedding,0.7536560893058777
26,160,annotated graph,graph augmentation,0.753197968006134
26,162,annotated graph,graph feature generation,0.7278140187263489
26,183,annotated graph,self-loop augmentation,0.667999804019928
26,205,annotated graph,active learning,0.605988621711731
26,380,annotated graph,edge attributes,0.7421760559082031
27,67,loop,graph neural network,0.7160214185714722
27,68,loop,fixed adjacency matrix,0.7310431599617004
27,129,loop,connected nodes,0.717430055141449
27,169,loop,graph neural architecture,0.725691556930542
27,177,loop,graph convolutional network,0.7421129941940308
27,183,loop,self-loop augmentation,0.8709515929222107
27,230,loop,degree matrix,0.7138659954071045
27,238,loop,parameter update,0.7063274383544922
27,242,loop,stability,0.6586037278175354
27,247,loop,node embedding computation graph,0.7243649959564209
27,270,loop,graph neural network layer,0.73250412940979
27,377,loop,directed acyclic graph,0.6601879596710205
28,31,multiple edges,complete graph,0.6566557884216309
28,32,multiple edges,adjacency,0.6649538278579712
28,38,multiple edges,edge set,0.580494225025177
28,59,multiple edges,topology,0.5943922996520996
28,118,multiple edges,edge-based features,0.6146981120109558
28,309,multiple edges,edge feature matrix,0.6237385272979736
29,30,feature matrix,embedding matrix,0.7509128451347351
29,48,feature matrix,permutation invariance,0.6864935159683228
29,58,feature matrix,feature integration,0.7202084064483643
29,75,feature matrix,representation learning,0.7142863869667053
29,141,feature matrix,graph feature embedding,0.7400103807449341
29,168,feature matrix,matrix multiplication,0.746721625328064
29,230,feature matrix,degree matrix,0.6951320171356201
29,270,feature matrix,graph neural network layer,0.7236150503158569
29,281,feature matrix,node permutation invariance,0.7153814435005188
29,285,feature matrix,permutation,0.5947490334510803
29,288,feature matrix,permutation matrix,0.6912503242492676
29,309,feature matrix,edge feature matrix,0.7682124376296997
29,365,feature matrix,element-wise product,0.6911107301712036
30,52,embedding matrix,covariance matrix,0.7401742935180664
30,54,embedding matrix,eigen decomposition,0.676698625087738
30,60,embedding matrix,graph walks,0.646477460861206
30,61,embedding matrix,matrix powers,0.5578117370605469
30,73,embedding matrix,dot product,0.6474926471710205
30,103,embedding matrix,latent representation,0.8020769357681274
30,128,embedding matrix,similarity function,0.7451019287109375
30,135,embedding matrix,graph structure encoding,0.8057973384857178
30,139,embedding matrix,embedding size,0.7663317918777466
30,140,embedding matrix,graph feature representation,0.8043148517608643
30,141,embedding matrix,graph feature embedding,0.8562198877334595
30,144,embedding matrix,graph feature representation method,0.7938982248306274
30,145,embedding matrix,graph feature embedding method,0.8156377077102661
30,168,embedding matrix,matrix multiplication,0.7646589279174805
30,327,embedding matrix,graph representation learning,0.7978905439376831
31,32,complete graph,adjacency,0.7359809875488281
31,35,complete graph,proper subgraph,0.5894877910614014
31,36,complete graph,spanning subgraph,0.6593472957611084
31,37,complete graph,induced subgraph,0.6030124425888062
31,59,complete graph,topology,0.6662540435791016
31,92,complete graph,matrix completion,0.45052456855773926
31,348,complete graph,edge-sequence,0.5994455218315125
31,351,complete graph,edge connection,0.6016746759414673
32,39,adjacency,symmetric matrix,0.660180389881134
32,59,adjacency,topology,0.698506236076355
32,61,adjacency,matrix powers,0.5890019536018372
32,72,adjacency,edge prediction,0.655380129814148
32,129,adjacency,connected nodes,0.7067936658859253
32,138,adjacency,shared neighbors,0.6941299438476562
32,321,adjacency,adjacency matrix generation,0.674260139465332
33,34,subgraph,vertex set,0.7915735244750977
33,35,subgraph,proper subgraph,0.7448588609695435
33,36,subgraph,spanning subgraph,0.7577518224716187
33,37,subgraph,induced subgraph,0.7824380397796631
33,38,subgraph,edge set,0.758963942527771
33,43,subgraph,microscale topology,0.6741553544998169
33,121,subgraph,graph-based features,0.6979668736457825
33,152,subgraph,graph clustering,0.7342158555984497
33,154,subgraph,graphlets,0.7584735155105591
33,189,subgraph,clustering,0.7019648551940918
33,266,subgraph,bipartite graph,0.6279449462890625
33,274,subgraph,training graphs,0.7100985050201416
34,35,vertex set,proper subgraph,0.6418805122375488
34,36,vertex set,spanning subgraph,0.6656062006950378
34,37,vertex set,induced subgraph,0.6990501880645752
34,38,vertex set,edge set,0.825981855392456
34,121,vertex set,graph-based features,0.7124853730201721
34,206,vertex set,computation graph,0.6864528656005859
34,254,vertex set,disjoint subsets,0.6383593678474426
34,266,vertex set,bipartite graph,0.6270509958267212
34,274,vertex set,training graphs,0.6894505620002747
34,293,vertex set,node computational graph,0.6848580837249756
34,304,vertex set,multiset,0.6980246305465698
35,36,proper subgraph,spanning subgraph,0.7219586372375488
35,37,proper subgraph,induced subgraph,0.7223517894744873
35,38,proper subgraph,edge set,0.5671432018280029
35,154,proper subgraph,graphlets,0.5415809154510498
36,37,spanning subgraph,induced subgraph,0.7398709058761597
36,38,spanning subgraph,edge set,0.6104902029037476
36,80,spanning subgraph,spanning set,0.5805977582931519
36,154,spanning subgraph,graphlets,0.5858580470085144
37,38,induced subgraph,edge set,0.6515588164329529
37,121,induced subgraph,graph-based features,0.6040430068969727
37,154,induced subgraph,graphlets,0.6291952729225159
37,162,induced subgraph,graph feature generation,0.5776224136352539
37,351,induced subgraph,edge connection,0.6012744903564453
38,80,edge set,spanning set,0.6121429204940796
38,118,edge set,edge-based features,0.7720929384231567
38,129,edge set,connected nodes,0.7400052547454834
38,152,edge set,graph clustering,0.7082176208496094
38,247,edge set,node embedding computation graph,0.7175196409225464
38,254,edge set,disjoint subsets,0.669321596622467
38,266,edge set,bipartite graph,0.6444430947303772
38,295,edge set,symmetric neighborhood,0.6752575635910034
38,304,edge set,multiset,0.6795704364776611
38,309,edge set,edge feature matrix,0.7502276301383972
38,315,edge set,gnn aims,0.708055317401886
38,380,edge set,edge attributes,0.7587847113609314
39,48,symmetric matrix,permutation invariance,0.6699156165122986
39,53,symmetric matrix,eigenvalues,0.701132595539093
39,54,symmetric matrix,eigen decomposition,0.6775860786437988
39,55,symmetric matrix,eigenvectors,0.6938561797142029
39,61,symmetric matrix,matrix powers,0.6206921935081482
39,168,symmetric matrix,matrix multiplication,0.6638673543930054
39,288,symmetric matrix,permutation matrix,0.7127156257629395
39,295,symmetric matrix,symmetric neighborhood,0.7348140478134155
39,309,symmetric matrix,edge feature matrix,0.6692334413528442
40,41,graph efficiency,graph resilience,0.7499834895133972
40,42,graph efficiency,node centrality measures,0.6021939516067505
40,43,graph efficiency,microscale topology,0.6346961259841919
40,44,graph efficiency,percolation threshold,0.6844698190689087
40,57,graph efficiency,degree centrality,0.5953187942504883
40,62,graph efficiency,core-periphery structure,0.5697094202041626
40,63,graph efficiency,betweenness centrality,0.7180047035217285
40,154,graph efficiency,graphlets,0.5829480886459351
40,245,graph efficiency,computational efficiency,0.6529316902160645
40,386,graph efficiency,eigenvector centrality,0.5782054662704468
41,43,graph resilience,microscale topology,0.6133850812911987
41,44,graph resilience,percolation threshold,0.7496345639228821
41,46,graph resilience,highly connected core structure,0.6362050771713257
41,47,graph resilience,star-like graphs,0.5570957660675049
41,59,graph resilience,topology,0.5883781313896179
41,62,graph resilience,core-periphery structure,0.6167973279953003
41,63,graph resilience,betweenness centrality,0.7037902474403381
41,152,graph resilience,graph clustering,0.5801756381988525
41,154,graph resilience,graphlets,0.5965389609336853
41,336,graph resilience,utility of graph generation,0.6123883128166199
42,44,node centrality measures,percolation threshold,0.5538917779922485
42,46,node centrality measures,highly connected core structure,0.6489509344100952
42,50,node centrality measures,graph sparsity,0.6640125513076782
42,57,node centrality measures,degree centrality,0.8345801830291748
42,60,node centrality measures,graph walks,0.6611998081207275
42,62,node centrality measures,core-periphery structure,0.6873890161514282
42,63,node centrality measures,betweenness centrality,0.7899044752120972
42,115,node centrality measures,node-based features,0.7320823669433594
42,119,node centrality measures,feature extraction,0.7454475164413452
42,137,node centrality measures,node similarity,0.7299739122390747
42,148,node centrality measures,number of nodes,0.7039905190467834
42,150,node centrality measures,topological roles,0.7268540859222412
42,151,node centrality measures,node clustering,0.7232196927070618
42,152,node centrality measures,graph clustering,0.7529491186141968
42,327,node centrality measures,graph representation learning,0.7284619212150574
42,386,node centrality measures,eigenvector centrality,0.7905580997467041
42,387,node centrality measures,degree distribution,0.7189913988113403
43,44,microscale topology,percolation threshold,0.6559547185897827
43,45,microscale topology,mesoscale topology,0.7912362813949585
43,46,microscale topology,highly connected core structure,0.7054104804992676
43,47,microscale topology,star-like graphs,0.7155894637107849
43,59,microscale topology,topology,0.7037047147750854
43,62,microscale topology,core-periphery structure,0.6942360401153564
43,63,microscale topology,betweenness centrality,0.6892895698547363
43,151,microscale topology,node clustering,0.680073618888855
43,154,microscale topology,graphlets,0.7166735529899597
44,45,percolation threshold,mesoscale topology,0.5794662237167358
44,46,percolation threshold,highly connected core structure,0.6252769827842712
44,57,percolation threshold,degree centrality,0.5704778432846069
44,62,percolation threshold,core-periphery structure,0.6210529804229736
44,63,percolation threshold,betweenness centrality,0.6758427023887634
44,386,percolation threshold,eigenvector centrality,0.5508913993835449
45,46,mesoscale topology,highly connected core structure,0.6849034428596497
45,47,mesoscale topology,star-like graphs,0.6538959741592407
45,59,mesoscale topology,topology,0.6959186792373657
45,62,mesoscale topology,core-periphery structure,0.6557298898696899
45,63,mesoscale topology,betweenness centrality,0.6320552825927734
45,151,mesoscale topology,node clustering,0.6023920774459839
45,154,mesoscale topology,graphlets,0.6000139117240906
45,189,mesoscale topology,clustering,0.5614624619483948
46,47,highly connected core structure,star-like graphs,0.6673963069915771
46,57,highly connected core structure,degree centrality,0.6608489751815796
46,59,highly connected core structure,topology,0.6563953161239624
46,62,highly connected core structure,core-periphery structure,0.7984572649002075
46,63,highly connected core structure,betweenness centrality,0.7578721046447754
46,386,highly connected core structure,eigenvector centrality,0.6648744344711304
47,59,star-like graphs,topology,0.5791494846343994
47,62,star-like graphs,core-periphery structure,0.6771568059921265
47,63,star-like graphs,betweenness centrality,0.5990322232246399
47,154,star-like graphs,graphlets,0.5998522043228149
48,279,permutation invariance,transformation invariance,0.6708576083183289
48,280,permutation invariance,node ordering,0.839522123336792
48,281,permutation invariance,node permutation invariance,0.9243557453155518
48,282,permutation invariance,node permutation equivariance in gnns,0.8206894397735596
48,283,permutation invariance,node permutation equivariance,0.8782765865325928
48,284,permutation invariance,transformation equivariance,0.6286283135414124
48,285,permutation invariance,permutation,0.8613008260726929
48,286,permutation invariance,associativity,0.8105257749557495
48,287,permutation invariance,non-commutativity,0.7422109842300415
48,288,permutation invariance,permutation matrix,0.8778417706489563
49,50,graph density,graph sparsity,0.8105489015579224
49,142,graph density,graph feature compression,0.6838934421539307
49,148,graph density,number of nodes,0.7510754466056824
49,152,graph density,graph clustering,0.6896917223930359
49,230,graph density,degree matrix,0.6818409562110901
49,247,graph density,node embedding computation graph,0.6714838743209839
49,333,graph density,sparsity regularization,0.695046067237854
49,338,graph density,density estimation,0.6429215669631958
49,378,graph density,coarsened graph,0.6927653551101685
49,387,graph density,degree distribution,0.7200930118560791
50,79,graph sparsity,dimensionality reduction,0.6814650297164917
50,131,graph sparsity,shallow node embedding,0.6600918769836426
50,142,graph sparsity,graph feature compression,0.7026338577270508
50,143,graph sparsity,graph feature reduction,0.7100794315338135
50,147,graph sparsity,graph feature reduction method,0.7111667394638062
50,263,graph sparsity,scalability,0.6525049209594727
50,333,graph sparsity,sparsity regularization,0.8106300234794617
51,52,principal component analysis,covariance matrix,0.7662541270256042
51,53,principal component analysis,eigenvalues,0.6741756200790405
51,54,principal component analysis,eigen decomposition,0.7275832891464233
51,55,principal component analysis,eigenvectors,0.7443751692771912
51,75,principal component analysis,representation learning,0.7691326141357422
51,76,principal component analysis,machine learning,0.7412880659103394
51,79,principal component analysis,dimensionality reduction,0.7829301357269287
51,80,principal component analysis,spanning set,0.6250146627426147
51,87,principal component analysis,deep non-negative matrix factorization,0.5479056239128113
51,109,principal component analysis,manifold learning,0.6411995887756348
51,119,principal component analysis,feature extraction,0.7575580477714539
51,140,principal component analysis,graph feature representation,0.7523852586746216
51,141,principal component analysis,graph feature embedding,0.7428905367851257
51,143,principal component analysis,graph feature reduction,0.7704007625579834
51,147,principal component analysis,graph feature reduction method,0.754356861114502
52,53,covariance matrix,eigenvalues,0.6690374612808228
52,54,covariance matrix,eigen decomposition,0.6844819784164429
52,55,covariance matrix,eigenvectors,0.7142355442047119
52,80,covariance matrix,spanning set,0.5985572338104248
52,92,covariance matrix,matrix completion,0.44654566049575806
52,117,covariance matrix,shared mapping,0.5854449272155762
